InfosDossier
InfosDossier;Dossier;91944
InfosDossier;Code_Exercice;06
InfosDossier;Nom_Exercice;2006
InfosDossier;Raison sociale;E.A.R.L DUCOM LABASTIDE
InfosDossier;Debut;01/07/2005
InfosDossier;Fin;30/06/2006
InfosDossier;Adresse1;"GRAND BLAYE"
InfosDossier;Adresse2;.
InfosDossier;cp;40500
InfosDossier;ville;FARGUES
InfosDossier;Gestion derog;Faux
5B1;compte;debit;credit
5B1;2313;1000;0
5B2;compte;debit;credit
5B2;2154;327.13;0
6B1;compte;debit;credit
6B1;205;125.53;0
6B1;2121;1016.67;0
6B1;21311;4648.4;0
6B1;2154;16926.91;0
6B1;2461;232.35;0
6B2;compte;debit;credit
6B2;;;0
6A3;compte;debit;credit
6A3;2154;327.13;0
6C4;compte;debit;credit
6C5;compte;debit;credit
Bilan;Compte;Debit_Report;Credit_Report;Debit_base;Credit_base;debit_total;credit_total
Analytique;ELEM;Eléments divers;745017;AIDE MAIS;0;0;0.00;0.00;0.00;0.00;EE;Elements exceptionnels;0
Analytique;ELEM;Eléments divers;7450399;AIDE  JACHERE;0;0;0.00;0.00;0.00;0.00;EE;Elements exceptionnels;0
Analytique;ELEM;Eléments divers;768;AUTRES PROD FINANC.;0;198.47;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;M--O;Main d'oeuvre;621;SALAIRE PERSONNEL EXTER.;4553.27;0;343.50;13.26;0.00;0.00;CS;Charges de structure;0
Analytique;M--O;Main d'oeuvre;6413;REMUNERATIONS ASSOCI;21960;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;M--O;Main d'oeuvre;6462;MSA GILLES;2406.8;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;MECA;Charges de mécanisation;6021;FUEL ET HUILE;5177.82;0;10 132.00;0.51;0.00;0.00;CS;Charges de structure;0
Analytique;MECA;Charges de mécanisation;60321;V.S CARBURANT;358;0;1 000.00;0.36;0.00;0.00;CS;Charges de structure;0
Analytique;MECA;Charges de mécanisation;6066;PETIT EQUIPEMENT;1752.01;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;MECA;Charges de mécanisation;6155;ENTR.MATERIEL;3753.92;0;0.00;0.00;0.00;0.00;1;Céréales;0
Analytique;MA-C;Maïs consommation;601117;ENGRAIS MAIS;10898.82;0;876.50;12.43;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;601217;SEMENCES MAIS;4557.33;0;47.00;96.96;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;601317;TRAITEMENTS MAIS;4811.69;0;538.00;8.94;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;605117;RECOLTE MAIS;3018;0;37.72;80.01;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;605217;TRAVAUX HORS RECOLTE;2467.14;0;684.25;3.61;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;634117;TAXES MAIS;302.42;0;2 936.22;0.10;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;701017;VENTES MAIS;0;27137.98;2 936.82;9.24;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;708017;CESSION MAIS;0;4723;458.49;10.30;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;7134117;V.S MAIS TERRE;0;3865.52;0.00;0.00;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;71341315;V.S MAIS ENSIL.TERRE;0;3309.72;-2.00;-1 654.86;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;7137417;V.S MAIS;1545.6;0;164.88;9.37;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;7260170;AUTOC.MAIS;0;99.2;10.00;9.92;0.00;0.00;1;Céréales;1.6
Analytique;MA-C;Maïs consommation;745017;AIDE MAIS;0;15934.6;36.52;436.33;0.00;0.00;3;Plantes fourragères et jachère;1.6
Analytique;JACH;Jachère;7450399;AIDE  JACHERE;0;2390.37;5.59;427.62;0.00;0.00;8;Productions animales;1.22
Analytique;BONE;Bovin viande naisseur engraisseur;6011801;ENGRAIS PRAIRIES;6688.58;0;260.00;25.73;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6012801;SEMENCES PRAIRIES;1052.65;0;250.00;4.21;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6013801;PHYTO PRAIRIES;419.31;0;64.00;6.55;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6014801;ALIMENT BOVINS;12837.17;0;524.63;24.47;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6015801;PRDTS VETOS;3416.67;0;0.00;0.00;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6027801;FOURNITURES BOVINS;309.77;0;17.00;18.22;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;60314801;V.S ALIMENT BOVINS;0;651.66;-35.00;-18.62;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;60327801;V.S FOURNITURES BOVINS;252;0;12.00;21.00;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6045801;ACHAT ANIMAUX;2286.73;0;1.00;2 286.73;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6051801;TRAVAUX BOVINS;2802.96;0;1 008.00;2.78;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6052315;TRAVAUX MAIS ENSIL.;1274.77;0;8.70;146.53;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6054801;AUTRES FRAIS BOVINS;4124.42;0;378.60;10.89;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6080801;CESSION MAIS;4723;0;458.49;10.30;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6080802;CESSION TRITICALE;780;0;90.00;8.67;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6080803;CESSION PAILLE;2110;0;30 400.00;0.07;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6225801;HONORAIRES VETOS;3090.68;0;118.00;26.19;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6284801;COTISATIONS BOVINS;2231.57;0;0.00;0.00;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;6344801;TAXES BOVINS;91.9;0;0.00;0.00;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;681731;DOT.PROV.DEPR.BOVINS;492;0;0.00;0.00;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;7045801;BOVINS;0;74459.79;29.00;2 567.58;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;7045806;VEAUX;0;8816.08;10.00;881.61;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;713111;V.I BOVINS;19875;0;8.00;2 484.38;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;71341315;V.S MAIS ENSIL.TERRE;3680.52;0;1.00;3 680.52;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;7137801;V.S FOIN-ENSILAGE;0;2480;-28.00;-88.57;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;7260800;AUTOC.VEAU;0;600;1.00;600.00;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;74408;PRIME BOVINS;0;17670.83;0.00;0.00;0.00;0.00;8;Productions animales;1
Analytique;BONE;Bovin viande naisseur engraisseur;7450315;AIDE MAIS ENSILAGE;0;4232.36;9.70;436.33;0.00;0.00;8;Productions animales;1
